TIME,GEO,FORD,SEX,PROF_POS,SECTPERF,VALUE
2022,SI,TOTAL,T,TOTAL,TOTAL,25336
2000,SK,TOTAL,T,TOTAL,TOTAL,22256
2001,SK,TOTAL,T,TOTAL,TOTAL,21997
2002,SK,TOTAL,T,TOTAL,TOTAL,21025
2003,SK,TOTAL,T,TOTAL,TOTAL,20928
2004,SK,TOTAL,T,TOTAL,TOTAL,22217
2005,SK,TOTAL,T,TOTAL,TOTAL,22294
2006,SK,TOTAL,T,TOTAL,TOTAL,23120
2007,SK,TOTAL,T,TOTAL,TOTAL,23437
2008,SK,TOTAL,T,TOTAL,TOTAL,23641
2009,SK,TOTAL,T,TOTAL,TOTAL,25388
2010,SK,TOTAL,T,TOTAL,TOTAL,28128
2011,SK,TOTAL,T,TOTAL,TOTAL,28596
2012,SK,TOTAL,T,TOTAL,TOTAL,28880
2013,SK,TOTAL,T,TOTAL,TOTAL,27823
2014,SK,TOTAL,T,TOTAL,TOTAL,28825
2015,SK,TOTAL,T,TOTAL,TOTAL,28752
2016,SK,TOTAL,T,TOTAL,TOTAL,33252
2017,SK,TOTAL,T,TOTAL,TOTAL,33467
2018,SK,TOTAL,T,TOTAL,TOTAL,35770
2019,SK,TOTAL,T,TOTAL,TOTAL,36309
2020,SK,TOTAL,T,TOTAL,TOTAL,37189
2021,SK,TOTAL,T,TOTAL,TOTAL,38218
2022,SK,TOTAL,T,TOTAL,TOTAL,39614
2000,FI,TOTAL,T,TOTAL,TOTAL,68813
2001,FI,TOTAL,T,TOTAL,TOTAL,69788
2002,FI,TOTAL,T,TOTAL,TOTAL,73121
2003,FI,TOTAL,T,TOTAL,TOTAL,74773
2004,FI,TOTAL,T,TOTAL,TOTAL,76687
2005,FI,TOTAL,T,TOTAL,TOTAL,77275
2006,FI,TOTAL,T,TOTAL,TOTAL,79911
2007,FI,TOTAL,T,TOTAL,TOTAL,79507
2008,FI,TOTAL,T,TOTAL,TOTAL,79289
2009,FI,TOTAL,T,TOTAL,TOTAL,79475
2010,FI,TOTAL,T,TOTAL,TOTAL,79979
2011,FI,TOTAL,T,TOTAL,TOTAL,80817
2012,FI,TOTAL,T,TOTAL,TOTAL,79372
2013,FI,TOTAL,T,TOTAL,TOTAL,78943
2014,FI,TOTAL,T,TOTAL,TOTAL,77306
2015,FI,TOTAL,T,TOTAL,TOTAL,76090
2016,FI,TOTAL,T,TOTAL,TOTAL,72387
2017,FI,TOTAL,T,TOTAL,TOTAL,72621
2018,FI,TOTAL,T,TOTAL,TOTAL,73905
2019,FI,TOTAL,T,TOTAL,TOTAL,76206
2020,FI,TOTAL,T,TOTAL,TOTAL,80560
2021,FI,TOTAL,T,TOTAL,TOTAL,87364
2001,SE,TOTAL,T,TOTAL,TOTAL,110291
2003,SE,TOTAL,T,TOTAL,TOTAL,108146
2005,SE,TOTAL,T,TOTAL,TOTAL,117639
2007,SE,TOTAL,T,TOTAL,TOTAL,115678
2009,SE,TOTAL,T,TOTAL,TOTAL,116209
2011,SE,TOTAL,T,TOTAL,TOTAL,125648
2013,SE,TOTAL,T,TOTAL,TOTAL,133906
2015,SE,TOTAL,T,TOTAL,TOTAL,138620
2017,SE,TOTAL,T,TOTAL,TOTAL,131783
2019,SE,TOTAL,T,TOTAL,TOTAL,135685
2021,SE,TOTAL,T,TOTAL,TOTAL,165126
2000,IS,TOTAL,T,TOTAL,TOTAL,4670
2001,IS,TOTAL,T,TOTAL,TOTAL,5218
2002,IS,TOTAL,T,TOTAL,TOTAL,4970
2003,IS,TOTAL,T,TOTAL,TOTAL,5466
2005,IS,TOTAL,T,TOTAL,TOTAL,5724
2006,IS,TOTAL,T,TOTAL,TOTAL,6169
2007,IS,TOTAL,T,TOTAL,TOTAL,5492
2008,IS,TOTAL,T,TOTAL,TOTAL,5739
2009,IS,TOTAL,T,TOTAL,TOTAL,5111
2011,IS,TOTAL,T,TOTAL,TOTAL,4792
2013,IS,TOTAL,T,TOTAL,TOTAL,4905
2017,IS,TOTAL,T,TOTAL,TOTAL,6197
2018,IS,TOTAL,T,TOTAL,TOTAL,6164
2021,IS,TOTAL,T,TOTAL,TOTAL,7889
2022,IS,TOTAL,T,TOTAL,TOTAL,8109
2001,NO,TOTAL,T,TOTAL,TOTAL,48333
2002,NO,TOTAL,T,TOTAL,TOTAL,50613
2003,NO,TOTAL,T,TOTAL,TOTAL,50675
2005,NO,TOTAL,T,TOTAL,TOTAL,53826
2007,NO,TOTAL,T,TOTAL,TOTAL,59132
2008,NO,TOTAL,T,TOTAL,TOTAL,62655
2009,NO,TOTAL,T,TOTAL,TOTAL,64126
2010,NO,TOTAL,T,TOTAL,TOTAL,63876
2011,NO,TOTAL,T,TOTAL,TOTAL,64717
2012,NO,TOTAL,T,TOTAL,TOTAL,66085
2013,NO,TOTAL,T,TOTAL,TOTAL,68204
2014,NO,TOTAL,T,TOTAL,TOTAL,71947
2015,NO,TOTAL,T,TOTAL,TOTAL,76557
2016,NO,TOTAL,T,TOTAL,TOTAL,80684
2017,NO,TOTAL,T,TOTAL,TOTAL,84975
2018,NO,TOTAL,T,TOTAL,TOTAL,86610
2019,NO,TOTAL,T,TOTAL,TOTAL,89864
2020,NO,TOTAL,T,TOTAL,TOTAL,90201
2021,NO,TOTAL,T,TOTAL,TOTAL,94241
2022,NO,TOTAL,T,TOTAL,TOTAL,96779
2000,CH,TOTAL,T,TOTAL,TOTAL,86990
2004,CH,TOTAL,T,TOTAL,TOTAL,84090
2008,CH,TOTAL,T,TOTAL,TOTAL,100164
2012,CH,TOTAL,T,TOTAL,TOTAL,117457
2015,CH,TOTAL,T,TOTAL,TOTAL,124246
2017,CH,TOTAL,T,TOTAL,TOTAL,122172
2019,CH,TOTAL,T,TOTAL,TOTAL,133043
2021,CH,TOTAL,T,TOTAL,TOTAL,139431
2005,UK,TOTAL,T,TOTAL,TOTAL,470197
2007,UK,TOTAL,T,TOTAL,TOTAL,499191
2009,UK,TOTAL,T,TOTAL,TOTAL,507524
2010,UK,TOTAL,T,TOTAL,TOTAL,524333
2011,UK,TOTAL,T,TOTAL,TOTAL,565769
2012,UK,TOTAL,T,TOTAL,TOTAL,580452
2013,UK,TOTAL,T,TOTAL,TOTAL,610276
2014,UK,TOTAL,T,TOTAL,TOTAL,646201
2015,UK,TOTAL,T,TOTAL,TOTAL,670286
2016,UK,TOTAL,T,TOTAL,TOTAL,695925
2017,UK,TOTAL,T,TOTAL,TOTAL,739816
2018,UK,TOTAL,T,TOTAL,TOTAL,771139
2012,BA,TOTAL,T,TOTAL,TOTAL,1705
2013,BA,TOTAL,T,TOTAL,TOTAL,2167
2014,BA,TOTAL,T,TOTAL,TOTAL,3189
2019,BA,TOTAL,T,TOTAL,TOTAL,2883
2020,BA,TOTAL,T,TOTAL,TOTAL,2541
2021,BA,TOTAL,T,TOTAL,TOTAL,2492
2011,ME,TOTAL,T,TOTAL,TOTAL,2134
2013,ME,TOTAL,T,TOTAL,TOTAL,2230
2014,ME,TOTAL,T,TOTAL,TOTAL,2339
2015,ME,TOTAL,T,TOTAL,TOTAL,2356
2016,ME,TOTAL,T,TOTAL,TOTAL,2194
2017,ME,TOTAL,T,TOTAL,TOTAL,2234
2018,ME,TOTAL,T,TOTAL,TOTAL,2382
2019,ME,TOTAL,T,TOTAL,TOTAL,2330
2005,MK,TOTAL,T,TOTAL,TOTAL,3143
2006,MK,TOTAL,T,TOTAL,TOTAL,2939
2007,MK,TOTAL,T,TOTAL,TOTAL,2952
2008,MK,TOTAL,T,TOTAL,TOTAL,2746
2009,MK,TOTAL,T,TOTAL,TOTAL,2413
2010,MK,TOTAL,T,TOTAL,TOTAL,2645
2011,MK,TOTAL,T,TOTAL,TOTAL,2227
2012,MK,TOTAL,T,TOTAL,TOTAL,2773
2015,MK,TOTAL,T,TOTAL,TOTAL,4286
2016,MK,TOTAL,T,TOTAL,TOTAL,4372
2017,MK,TOTAL,T,TOTAL,TOTAL,4064
2018,MK,TOTAL,T,TOTAL,TOTAL,4106
2019,MK,TOTAL,T,TOTAL,TOTAL,3984
2020,MK,TOTAL,T,TOTAL,TOTAL,4177
2022,MK,TOTAL,T,TOTAL,TOTAL,3361
2008,RS,TOTAL,T,TOTAL,TOTAL,19321
2009,RS,TOTAL,T,TOTAL,TOTAL,20067
2010,RS,TOTAL,T,TOTAL,TOTAL,19341
2011,RS,TOTAL,T,TOTAL,TOTAL,19742
2012,RS,TOTAL,T,TOTAL,TOTAL,19646
2013,RS,TOTAL,T,TOTAL,TOTAL,21044
2014,RS,TOTAL,T,TOTAL,TOTAL,21880
2015,RS,TOTAL,T,TOTAL,TOTAL,23629
2016,RS,TOTAL,T,TOTAL,TOTAL,23542
2017,RS,TOTAL,T,TOTAL,TOTAL,22782
2018,RS,TOTAL,T,TOTAL,TOTAL,22971
2019,RS,TOTAL,T,TOTAL,TOTAL,22972
2020,RS,TOTAL,T,TOTAL,TOTAL,23524
2021,RS,TOTAL,T,TOTAL,TOTAL,23977
2022,RS,TOTAL,T,TOTAL,TOTAL,24838
2000,TR,TOTAL,T,TOTAL,TOTAL,76074
2001,TR,TOTAL,T,TOTAL,TOTAL,75960
2002,TR,TOTAL,T,TOTAL,TOTAL,79958
2003,TR,TOTAL,T,TOTAL,TOTAL,83281
2004,TR,TOTAL,T,TOTAL,TOTAL,86680
2005,TR,TOTAL,T,TOTAL,TOTAL,97355
2006,TR,TOTAL,T,TOTAL,TOTAL,105032
2007,TR,TOTAL,T,TOTAL,TOTAL,119738
2008,TR,TOTAL,T,TOTAL,TOTAL,125142
2009,TR,TOTAL,T,TOTAL,TOTAL,135043
2010,TR,TOTAL,T,TOTAL,TOTAL,147417
2011,TR,TOTAL,T,TOTAL,TOTAL,164287
2012,TR,TOTAL,T,TOTAL,TOTAL,184301
2013,TR,TOTAL,T,TOTAL,TOTAL,196321
2014,TR,TOTAL,T,TOTAL,TOTAL,213686
2015,TR,TOTAL,T,TOTAL,TOTAL,209020
2016,TR,TOTAL,T,TOTAL,TOTAL,239669
2017,TR,TOTAL,T,TOTAL,TOTAL,259748
2018,TR,TOTAL,T,TOTAL,TOTAL,276775
2019,TR,TOTAL,T,TOTAL,TOTAL,295601
2020,TR,TOTAL,T,TOTAL,TOTAL,317491
2021,TR,TOTAL,T,TOTAL,TOTAL,346412
2022,TR,TOTAL,T,TOTAL,TOTAL,378157
2000,RU,TOTAL,T,TOTAL,TOTAL,887729
2001,RU,TOTAL,T,TOTAL,TOTAL,885568
2002,RU,TOTAL,T,TOTAL,TOTAL,870878
2003,RU,TOTAL,T,TOTAL,TOTAL,858470
2004,RU,TOTAL,T,TOTAL,TOTAL,839338
2005,RU,TOTAL,T,TOTAL,TOTAL,813207
2006,RU,TOTAL,T,TOTAL,TOTAL,807066
2007,RU,TOTAL,T,TOTAL,TOTAL,801135
2008,RU,TOTAL,T,TOTAL,TOTAL,761252
2009,RU,TOTAL,T,TOTAL,TOTAL,742433
2010,RU,TOTAL,T,TOTAL,TOTAL,736540
2011,RU,TOTAL,T,TOTAL,TOTAL,735273
2012,RU,TOTAL,T,TOTAL,TOTAL,727263
2013,RU,TOTAL,T,TOTAL,TOTAL,727029
2014,RU,TOTAL,T,TOTAL,TOTAL,732274
2015,RU,TOTAL,T,TOTAL,TOTAL,738857
2017,RU,TOTAL,T,TOTAL,TOTAL,707887
2018,RU,TOTAL,T,TOTAL,TOTAL,682580
2019,RU,TOTAL,T,TOTAL,TOTAL,682464
2000,BG,FORD1,T,TOTAL,TOTAL,4510
2001,BG,FORD1,T,TOTAL,TOTAL,4889
2002,BG,FORD1,T,TOTAL,TOTAL,4855
2003,BG,FORD1,T,TOTAL,TOTAL,4501
2004,BG,FORD1,T,TOTAL,TOTAL,4654
2005,BG,FORD1,T,TOTAL,TOTAL,4932
2006,BG,FORD1,T,TOTAL,TOTAL,4810
2007,BG,FORD1,T,TOTAL,TOTAL,4874
2008,BG,FORD1,T,TOTAL,TOTAL,4846
2009,BG,FORD1,T,TOTAL,TOTAL,4991
2010,BG,FORD1,T,TOTAL,TOTAL,5421
2011,BG,FORD1,T,TOTAL,TOTAL,5686
2012,BG,FORD1,T,TOTAL,TOTAL,5713
2013,BG,FORD1,T,TOTAL,TOTAL,5708
2014,BG,FORD1,T,TOTAL,TOTAL,5685
2000,CZ,FORD1,T,TOTAL,TOTAL,13905
2001,CZ,FORD1,T,TOTAL,TOTAL,13339
2002,CZ,FORD1,T,TOTAL,TOTAL,12955
2003,CZ,FORD1,T,TOTAL,TOTAL,11715
2004,CZ,FORD1,T,TOTAL,TOTAL,13181
2005,CZ,FORD1,T,TOTAL,TOTAL,15074
2006,CZ,FORD1,T,TOTAL,TOTAL,15968
2007,CZ,FORD1,T,TOTAL,TOTAL,15702
2008,CZ,FORD1,T,TOTAL,TOTAL,16230
2009,CZ,FORD1,T,TOTAL,TOTAL,16621
2010,CZ,FORD1,T,TOTAL,TOTAL,18295
2011,CZ,FORD1,T,TOTAL,TOTAL,21634
2012,CZ,FORD1,T,TOTAL,TOTAL,23585
2013,CZ,FORD1,T,TOTAL,TOTAL,25841
2014,CZ,FORD1,T,TOTAL,TOTAL,27979
2015,CZ,FORD1,T,TOTAL,TOTAL,28151
2007,DK,FORD1,T,TOTAL,TOTAL,4976
2011,EL,FORD1,T,TOTAL,TOTAL,9269
2002,HR,FORD1,T,TOTAL,TOTAL,3023
2003,HR,FORD1,T,TOTAL,TOTAL,2363
2004,HR,FORD1,T,TOTAL,TOTAL,3299
2005,HR,FORD1,T,TOTAL,TOTAL,1972
2006,HR,FORD1,T,TOTAL,TOTAL,1994
2007,HR,FORD1,T,TOTAL,TOTAL,2472
2008,HR,FORD1,T,TOTAL,TOTAL,2536
2009,HR,FORD1,T,TOTAL,TOTAL,2706
2010,HR,FORD1,T,TOTAL,TOTAL,2934
2011,HR,FORD1,T,TOTAL,TOTAL,2560
2012,HR,FORD1,T,TOTAL,TOTAL,2613
2013,HR,FORD1,T,TOTAL,TOTAL,2735
2014,HR,FORD1,T,TOTAL,TOTAL,2557
2001,CY,FORD1,T,TOTAL,TOTAL,606
2002,CY,FORD1,T,TOTAL,TOTAL,671
2003,CY,FORD1,T,TOTAL,TOTAL,711
2004,CY,FORD1,T,TOTAL,TOTAL,777
2005,CY,FORD1,T,TOTAL,TOTAL,872
2006,CY,FORD1,T,TOTAL,TOTAL,900
2007,CY,FORD1,T,TOTAL,TOTAL,862
2008,CY,FORD1,T,TOTAL,TOTAL,851
2009,CY,FORD1,T,TOTAL,TOTAL,962
2010,CY,FORD1,T,TOTAL,TOTAL,985
2011,CY,FORD1,T,TOTAL,TOTAL,985
2012,CY,FORD1,T,TOTAL,TOTAL,870
2013,CY,FORD1,T,TOTAL,TOTAL,941
2014,CY,FORD1,T,TOTAL,TOTAL,957
2000,HU,FORD1,T,TOTAL,TOTAL,6615
2001,HU,FORD1,T,TOTAL,TOTAL,6626
2002,HU,FORD1,T,TOTAL,TOTAL,7282
2003,HU,FORD1,T,TOTAL,TOTAL,7494
2004,HU,FORD1,T,TOTAL,TOTAL,9351
2005,HU,FORD1,T,TOTAL,TOTAL,9430
2006,HU,FORD1,T,TOTAL,TOTAL,9629
2007,HU,FORD1,T,TOTAL,TOTAL,10305
2008,HU,FORD1,T,TOTAL,TOTAL,11374
2009,HU,FORD1,T,TOTAL,TOTAL,12157
2010,HU,FORD1,T,TOTAL,TOTAL,12347
2011,HU,FORD1,T,TOTAL,TOTAL,12390
2012,HU,FORD1,T,TOTAL,TOTAL,13913
2013,HU,FORD1,T,TOTAL,TOTAL,15313
2014,HU,FORD1,T,TOTAL,TOTAL,15545
2005,MT,FORD1,T,TOTAL,TOTAL,204
2006,MT,FORD1,T,TOTAL,TOTAL,228
2007,MT,FORD1,T,TOTAL,TOTAL,288
2008,MT,FORD1,T,TOTAL,TOTAL,316
2009,MT,FORD1,T,TOTAL,TOTAL,365
2010,MT,FORD1,T,TOTAL,TOTAL,407
2011,MT,FORD1,T,TOTAL,TOTAL,513
2012,MT,FORD1,T,TOTAL,TOTAL,549
2013,MT,FORD1,T,TOTAL,TOTAL,594
2014,MT,FORD1,T,TOTAL,TOTAL,653
2011,NL,FORD1,T,TOTAL,TOTAL,31113
2012,NL,FORD1,T,TOTAL,TOTAL,33959
2000,PL,FORD1,T,TOTAL,TOTAL,25229
2001,PL,FORD1,T,TOTAL,TOTAL,24278
2002,PL,FORD1,T,TOTAL,TOTAL,25522
2003,PL,FORD1,T,TOTAL,TOTAL,26163
2004,PL,FORD1,T,TOTAL,TOTAL,26399
2005,PL,FORD1,T,TOTAL,TOTAL,23957
2006,PL,FORD1,T,TOTAL,TOTAL,22266
2007,PL,FORD1,T,TOTAL,TOTAL,23698
2008,PL,FORD1,T,TOTAL,TOTAL,23834
2009,PL,FORD1,T,TOTAL,TOTAL,25290
2010,PL,FORD1,T,TOTAL,TOTAL,24694
2011,PL,FORD1,T,TOTAL,TOTAL,25557
2012,PL,FORD1,T,TOTAL,TOTAL,26761
2014,PL,FORD1,T,TOTAL,TOTAL,27752
2000,PT,FORD1,T,TOTAL,TOTAL,8856
2002,PT,FORD1,T,TOTAL,TOTAL,9200
2003,PT,FORD1,T,TOTAL,TOTAL,9294
2005,PT,FORD1,T,TOTAL,TOTAL,9973
2006,PT,FORD1,T,TOTAL,TOTAL,12232
2007,PT,FORD1,T,TOTAL,TOTAL,14487
2008,PT,FORD1,T,TOTAL,TOTAL,21616
2009,PT,FORD1,T,TOTAL,TOTAL,20856
2010,PT,FORD1,T,TOTAL,TOTAL,21851
2011,PT,FORD1,T,TOTAL,TOTAL,19274
2012,PT,FORD1,T,TOTAL,TOTAL,19194
2013,PT,FORD1,T,TOTAL,TOTAL,20168
2014,PT,FORD1,T,TOTAL,TOTAL,19631
2002,RO,FORD1,T,TOTAL,TOTAL,5582
2003,RO,FORD1,T,TOTAL,TOTAL,5218
2004,RO,FORD1,T,TOTAL,TOTAL,6220
2005,RO,FORD1,T,TOTAL,TOTAL,6048
2006,RO,FORD1,T,TOTAL,TOTAL,7551
2007,RO,FORD1,T,TOTAL,TOTAL,8980
2008,RO,FORD1,T,TOTAL,TOTAL,6798
2009,RO,FORD1,T,TOTAL,TOTAL,5979
2010,RO,FORD1,T,TOTAL,TOTAL,6289
2011,RO,FORD1,T,TOTAL,TOTAL,8358
2012,RO,FORD1,T,TOTAL,TOTAL,7503
2013,RO,FORD1,T,TOTAL,TOTAL,6998
2014,RO,FORD1,T,TOTAL,TOTAL,6041
2002,SI,FORD1,T,TOTAL,TOTAL,1599
2003,SI,FORD1,T,TOTAL,TOTAL,1641
2004,SI,FORD1,T,TOTAL,TOTAL,1726
2005,SI,FORD1,T,TOTAL,TOTAL,1926
2006,SI,FORD1,T,TOTAL,TOTAL,2373
2007,SI,FORD1,T,TOTAL,TOTAL,2647
2008,SI,FORD1,T,TOTAL,TOTAL,4631
2009,SI,FORD1,T,TOTAL,TOTAL,4150
2010,SI,FORD1,T,TOTAL,TOTAL,4231
2011,SI,FORD1,T,TOTAL,TOTAL,5489
2012,SI,FORD1,T,TOTAL,TOTAL,5436
2013,SI,FORD1,T,TOTAL,TOTAL,5688
2000,SK,FORD1,T,TOTAL,TOTAL,5451
2001,SK,FORD1,T,TOTAL,TOTAL,6197
2002,SK,FORD1,T,TOTAL,TOTAL,5421
2003,SK,FORD1,T,TOTAL,TOTAL,5813
2004,SK,FORD1,T,TOTAL,TOTAL,5437
2005,SK,FORD1,T,TOTAL,TOTAL,5459
2006,SK,FORD1,T,TOTAL,TOTAL,5449
2007,SK,FORD1,T,TOTAL,TOTAL,5686
2008,SK,FORD1,T,TOTAL,TOTAL,5335
2009,SK,FORD1,T,TOTAL,TOTAL,4678
2010,SK,FORD1,T,TOTAL,TOTAL,5046
2011,SK,FORD1,T,TOTAL,TOTAL,4873
2012,SK,FORD1,T,TOTAL,TOTAL,5178
2013,SK,FORD1,T,TOTAL,TOTAL,4896
2014,SK,FORD1,T,TOTAL,TOTAL,5048
2012,BA,FORD1,T,TOTAL,TOTAL,150
2013,BA,FORD1,T,TOTAL,TOTAL,282
2011,ME,FORD1,T,TOTAL,TOTAL,160
2013,ME,FORD1,T,TOTAL,TOTAL,208
2014,ME,FORD1,T,TOTAL,TOTAL,145
2005,MK,FORD1,T,TOTAL,TOTAL,60
2006,MK,FORD1,T,TOTAL,TOTAL,52
2007,MK,FORD1,T,TOTAL,TOTAL,49
2008,MK,FORD1,T,TOTAL,TOTAL,59
2009,MK,FORD1,T,TOTAL,TOTAL,83
2015,MK,FORD1,T,TOTAL,TOTAL,449
2008,RS,FORD1,T,TOTAL,TOTAL,3028
2009,RS,FORD1,T,TOTAL,TOTAL,3519
2010,RS,FORD1,T,TOTAL,TOTAL,3529
2011,RS,FORD1,T,TOTAL,TOTAL,3684
2012,RS,FORD1,T,TOTAL,TOTAL,3767
2013,RS,FORD1,T,TOTAL,TOTAL,4186
2014,RS,FORD1,T,TOTAL,TOTAL,4695
2005,TR,FORD1,T,TOTAL,TOTAL,11180
2006,TR,FORD1,T,TOTAL,TOTAL,11917
2007,TR,FORD1,T,TOTAL,TOTAL,12471
2008,TR,FORD1,T,TOTAL,TOTAL,12819
2009,TR,FORD1,T,TOTAL,TOTAL,14901
2010,TR,FORD1,T,TOTAL,TOTAL,16799
2011,TR,FORD1,T,TOTAL,TOTAL,18803
2012,TR,FORD1,T,TOTAL,TOTAL,20695
2013,TR,FORD1,T,TOTAL,TOTAL,21370
2014,TR,FORD1,T,TOTAL,TOTAL,21949
2000,BG,FORD2,T,TOTAL,TOTAL,5315
2001,BG,FORD2,T,TOTAL,TOTAL,5080
2002,BG,FORD2,T,TOTAL,TOTAL,5002
2003,BG,FORD2,T,TOTAL,TOTAL,5802
2004,BG,FORD2,T,TOTAL,TOTAL,6153
2005,BG,FORD2,T,TOTAL,TOTAL,6482
2006,BG,FORD2,T,TOTAL,TOTAL,6979
2007,BG,FORD2,T,TOTAL,TOTAL,7009
2008,BG,FORD2,T,TOTAL,TOTAL,7105
2009,BG,FORD2,T,TOTAL,TOTAL,7227
2010,BG,FORD2,T,TOTAL,TOTAL,5810
2011,BG,FORD2,T,TOTAL,TOTAL,5209
2012,BG,FORD2,T,TOTAL,TOTAL,5818
2013,BG,FORD2,T,TOTAL,TOTAL,6298
2014,BG,FORD2,T,TOTAL,TOTAL,8382
2000,CZ,FORD2,T,TOTAL,TOTAL,25224
2001,CZ,FORD2,T,TOTAL,TOTAL,23641
2002,CZ,FORD2,T,TOTAL,TOTAL,24868
2003,CZ,FORD2,T,TOTAL,TOTAL,25342
2004,CZ,FORD2,T,TOTAL,TOTAL,26578
2005,CZ,FORD2,T,TOTAL,TOTAL,27744
2006,CZ,FORD2,T,TOTAL,TOTAL,29583
2007,CZ,FORD2,T,TOTAL,TOTAL,32937
2008,CZ,FORD2,T,TOTAL,TOTAL,34226
2009,CZ,FORD2,T,TOTAL,TOTAL,34283
2010,CZ,FORD2,T,TOTAL,TOTAL,34829
2011,CZ,FORD2,T,TOTAL,TOTAL,34991
2012,CZ,FORD2,T,TOTAL,TOTAL,38484
2013,CZ,FORD2,T,TOTAL,TOTAL,40450
2014,CZ,FORD2,T,TOTAL,TOTAL,42170
2015,CZ,FORD2,T,TOTAL,TOTAL,43809
2007,DK,FORD2,T,TOTAL,TOTAL,3087
2011,EL,FORD2,T,TOTAL,TOTAL,23573
2002,HR,FORD2,T,TOTAL,TOTAL,4311
2003,HR,FORD2,T,TOTAL,TOTAL,4335
2004,HR,FORD2,T,TOTAL,TOTAL,5146
2005,HR,FORD2,T,TOTAL,TOTAL,4440
2006,HR,FORD2,T,TOTAL,TOTAL,4634
2007,HR,FORD2,T,TOTAL,TOTAL,4623
2008,HR,FORD2,T,TOTAL,TOTAL,4879
2009,HR,FORD2,T,TOTAL,TOTAL,5537
2010,HR,FORD2,T,TOTAL,TOTAL,5268
2011,HR,FORD2,T,TOTAL,TOTAL,5287
2012,HR,FORD2,T,TOTAL,TOTAL,5564
2013,HR,FORD2,T,TOTAL,TOTAL,5499
2014,HR,FORD2,T,TOTAL,TOTAL,5627
2001,CY,FORD2,T,TOTAL,TOTAL,266
2002,CY,FORD2,T,TOTAL,TOTAL,325
2003,CY,FORD2,T,TOTAL,TOTAL,396
2004,CY,FORD2,T,TOTAL,TOTAL,408
2005,CY,FORD2,T,TOTAL,TOTAL,505
2006,CY,FORD2,T,TOTAL,TOTAL,517
2007,CY,FORD2,T,TOTAL,TOTAL,514
2008,CY,FORD2,T,TOTAL,TOTAL,524
2009,CY,FORD2,T,TOTAL,TOTAL,516
2010,CY,FORD2,T,TOTAL,TOTAL,552
2011,CY,FORD2,T,TOTAL,TOTAL,587
2012,CY,FORD2,T,TOTAL,TOTAL,622
2013,CY,FORD2,T,TOTAL,TOTAL,661
2014,CY,FORD2,T,TOTAL,TOTAL,652
2000,HU,FORD2,T,TOTAL,TOTAL,11584
2001,HU,FORD2,T,TOTAL,TOTAL,12250
2002,HU,FORD2,T,TOTAL,TOTAL,13442
2003,HU,FORD2,T,TOTAL,TOTAL,13212
2004,HU,FORD2,T,TOTAL,TOTAL,11026
2005,HU,FORD2,T,TOTAL,TOTAL,11391
2006,HU,FORD2,T,TOTAL,TOTAL,12811
2007,HU,FORD2,T,TOTAL,TOTAL,13236
2008,HU,FORD2,T,TOTAL,TOTAL,12850
2009,HU,FORD2,T,TOTAL,TOTAL,14981
2010,HU,FORD2,T,TOTAL,TOTAL,16829
2011,HU,FORD2,T,TOTAL,TOTAL,17941
2012,HU,FORD2,T,TOTAL,TOTAL,19805
2013,HU,FORD2,T,TOTAL,TOTAL,20844
2014,HU,FORD2,T,TOTAL,TOTAL,20353
2005,MT,FORD2,T,TOTAL,TOTAL,436
2006,MT,FORD2,T,TOTAL,TOTAL,461
2007,MT,FORD2,T,TOTAL,TOTAL,466
2008,MT,FORD2,T,TOTAL,TOTAL,492
2009,MT,FORD2,T,TOTAL,TOTAL,474
2010,MT,FORD2,T,TOTAL,TOTAL,626
2011,MT,FORD2,T,TOTAL,TOTAL,705
2012,MT,FORD2,T,TOTAL,TOTAL,711
2013,MT,FORD2,T,TOTAL,TOTAL,658
2014,MT,FORD2,T,TOTAL,TOTAL,687
2011,NL,FORD2,T,TOTAL,TOTAL,80571
2012,NL,FORD2,T,TOTAL,TOTAL,89459
2000,PL,FORD2,T,TOTAL,TOTAL,44289
2001,PL,FORD2,T,TOTAL,TOTAL,42377
2002,PL,FORD2,T,TOTAL,TOTAL,37913
2003,PL,FORD2,T,TOTAL,TOTAL,38135
2004,PL,FORD2,T,TOTAL,TOTAL,38044
2005,PL,FORD2,T,TOTAL,TOTAL,39734
2006,PL,FORD2,T,TOTAL,TOTAL,38778
2007,PL,FORD2,T,TOTAL,TOTAL,55639
2008,PL,FORD2,T,TOTAL,TOTAL,56707
2009,PL,FORD2,T,TOTAL,TOTAL,37886
2010,PL,FORD2,T,TOTAL,TOTAL,44519
2011,PL,FORD2,T,TOTAL,TOTAL,46774
2012,PL,FORD2,T,TOTAL,TOTAL,50918
2014,PL,FORD2,T,TOTAL,TOTAL,59786
2000,PT,FORD2,T,TOTAL,TOTAL,6065
2002,PT,FORD2,T,TOTAL,TOTAL,6219
2003,PT,FORD2,T,TOTAL,TOTAL,6252
2005,PT,FORD2,T,TOTAL,TOTAL,12895
2006,PT,FORD2,T,TOTAL,TOTAL,18475
2007,PT,FORD2,T,TOTAL,TOTAL,24055
2008,PT,FORD2,T,TOTAL,TOTAL,26612
2009,PT,FORD2,T,TOTAL,TOTAL,27938
2010,PT,FORD2,T,TOTAL,TOTAL,27189
2011,PT,FORD2,T,TOTAL,TOTAL,32407
2012,PT,FORD2,T,TOTAL,TOTAL,31660
